year_month;agreeableness
2015-03;0.000134
2015-04;0.226467
2015-05;0.526976
2015-06;0.5716
2015-07;0.189521
2015-08;0.42382
2015-09;0.515235
2015-10;0.573551
2015-11;0.185946
2015-12;0.782655
2016-01;0.188039
2016-02;0.178312
2016-03;0.739945
2016-04;0.826508
2016-05;0.866078
2016-06;0.242978
2016-07;0.614096
2016-08;0.022724
2016-09;0.609083
2016-10;0.379021
2016-11;0.493814
2016-12;0.014879
average;0.416881
max;0.86607800000000001
min;0.000134
overall;0.98346
