year-month;agreeableness
2016-9;0.255287
2016-1;0.003366
2016-12;0.871632
2015-8;0.679042
2016-3;0.227268
2016-4;0.143812
2016-11;0.785356
2016-5;0.100447
2015-7;0.156875
2015-6;0.01983
2015-9;0.165561
2015-3;0.042882
2015-5;0.05796
2015-11;0.240437
2015-12;0.001786
2016-7;0.562643
2016-6;0.590382
2015-4;0.790309
2015-10;0.391997
2016-2;0.198648
