year_month;agreeableness
2015-06;0.242153
2015-07;0.039088
2015-09;0.08335
2015-10;0.027968
2015-11;0.99228
2016-01;0.000293
2016-02;0.186467
2016-05;0.048623
2016-07;0.039157
2016-11;0.009299
2016-12;0.215668
average;0.1713041818181818
overall;0.028218
