url;owner;committer;decision;submission date;decision date
https://github.com/apache/drill/pull/555;amansinha100;<User (amansinha100)>;merged;2016-07-29 19:29:39;2016-08-02 05:56:41
https://github.com/apache/drill/pull/554;arina-ielchiieva;<User (arina-ielchiieva)>;merged;2016-07-26 14:08:04;2016-07-26 18:09:43
https://github.com/apache/drill/pull/553;amansinha100;<User (amansinha100)>;merged;2016-07-25 17:13:23;2016-07-28 00:24:19
https://github.com/apache/drill/pull/552;gparai;<User (gparai)>;merged;2016-07-22 07:53:49;2016-07-29 14:37:50
https://github.com/apache/drill/pull/551;arina-ielchiieva;<User (arina-ielchiieva)>;merged;2016-07-21 13:44:02;2016-11-02 18:47:31
https://github.com/apache/drill/pull/550;amansinha100;<User (amansinha100)>;merged;2016-07-21 06:21:42;2016-07-21 17:48:40
https://github.com/apache/drill/pull/548;vkorukanti;<User (vkorukanti)>;merged;2016-07-19 00:54:14;2016-07-20 01:22:48
https://github.com/apache/drill/pull/547;paul-rogers;<User (paul-rogers)>;merged;2016-07-18 23:07:19;2016-07-23 00:43:07
https://github.com/apache/drill/pull/546;chunhui-shi;<User (chunhui-shi)>;merged;2016-07-18 17:20:22;2016-07-22 05:36:01
https://github.com/apache/drill/pull/545;arina-ielchiieva;<User (arina-ielchiieva)>;merged;2016-07-18 09:55:43;2016-07-23 04:58:58
https://github.com/apache/drill/pull/544;paul-rogers;<User (paul-rogers)>;merged;2016-07-12 23:20:12;2016-07-18 23:07:59
https://github.com/apache/drill/pull/543;jinfengni;<User (jinfengni)>;merged;2016-07-11 16:17:29;
https://github.com/apache/drill/pull/542;paul-rogers;<User (paul-rogers)>;merged;2016-07-11 05:30:49;2016-07-11 21:29:53
https://github.com/apache/drill/pull/541;vdiravka;<User (vdiravka)>;merged;2016-07-06 10:14:59;2016-07-23 04:58:58
https://github.com/apache/drill/pull/540;ppadma;<User (ppadma)>;merged;2016-07-05 18:46:26;2016-07-20 04:53:52
https://github.com/apache/drill/pull/539;ppadma;<User (ppadma)>;merged;2016-07-01 21:21:52;2016-07-01 21:29:29
https://github.com/apache/drill/pull/538;bbevens;<User (bbevens)>;merged;2016-06-29 18:05:45;
https://github.com/apache/drill/pull/537;chunhui-shi;<User (chunhui-shi)>;merged;2016-06-29 17:45:30;2016-07-23 04:58:58
https://github.com/apache/drill/pull/535;chunhui-shi;<User (chunhui-shi)>;merged;2016-06-28 22:36:14;2016-06-29 17:09:34
https://github.com/apache/drill/pull/534;gparai;<User (gparai)>;merged;2016-06-21 21:54:18;2016-07-23 00:00:27
https://github.com/apache/drill/pull/533;gparai;<User (gparai)>;merged;2016-06-21 21:00:40;2016-06-21 21:22:01
https://github.com/apache/drill/pull/532;vkorukanti;<User (vkorukanti)>;merged;2016-06-21 16:32:44;2016-08-08 21:51:14
https://github.com/apache/drill/pull/531;arina-ielchiieva;<User (arina-ielchiieva)>;merged;2016-06-21 14:08:47;2016-08-07 14:50:07
https://github.com/apache/drill/pull/530;vkorukanti;<User (vkorukanti)>;merged;2016-06-20 16:00:04;2016-08-08 20:50:09
https://github.com/apache/drill/pull/529;gparai;<User (gparai)>;merged;2016-06-19 15:20:04;2016-07-14 22:26:22
https://github.com/apache/drill/pull/528;adityakishore;<User (adityakishore)>;merged;2016-06-18 07:28:55;
https://github.com/apache/drill/pull/527;vkorukanti;<User (vkorukanti)>;merged;2016-06-17 23:41:51;2016-08-07 19:51:29
https://github.com/apache/drill/pull/526;gparai;<User (gparai)>;merged;2016-06-17 20:41:42;2016-07-14 23:36:16
https://github.com/apache/drill/pull/525;adityakishore;<User (adityakishore)>;merged;2016-06-16 20:58:55;
https://github.com/apache/drill/pull/524;vkorukanti;<User (vkorukanti)>;merged;2016-06-15 18:35:43;
https://github.com/apache/drill/pull/523;arina-ielchiieva;<User (arina-ielchiieva)>;merged;2016-06-14 19:39:02;2016-06-21 13:35:59
https://github.com/apache/drill/pull/522;arina-ielchiieva;<User (arina-ielchiieva)>;merged;2016-06-14 19:31:34;2016-06-21 13:45:54
https://github.com/apache/drill/pull/521;jinfengni;<User (jinfengni)>;merged;2016-06-14 15:42:18;
https://github.com/apache/drill/pull/520;vdiravka;<User (vdiravka)>;merged;2016-06-13 08:37:07;2017-04-03 05:12:26
https://github.com/apache/drill/pull/519;amansinha100;<User (amansinha100)>;merged;2016-06-12 23:24:18;2016-07-19 00:18:32
https://github.com/apache/drill/pull/518;ssriniva123;<User (ssriniva123)>;merged;2016-06-10 23:06:19;2016-10-18 23:47:00
https://github.com/apache/drill/pull/517;daveoshinsky;<User (daveoshinsky)>;merged;2016-06-09 22:08:30;2016-08-09 04:26:42
https://github.com/apache/drill/pull/516;vdiravka;<User (vdiravka)>;merged;2016-06-08 16:31:31;2016-07-15 18:52:20
https://github.com/apache/drill/pull/515;jinfengni;<User (jinfengni)>;merged;2016-06-06 23:26:39;
https://github.com/apache/drill/pull/514;parthchandra;<User (parthchandra)>;merged;2016-06-04 00:52:29;2016-07-22 21:28:20
https://github.com/apache/drill/pull/513;parthchandra;<User (parthchandra)>;merged;2016-06-04 00:37:14;
https://github.com/apache/drill/pull/512;jcmcote;<User (jcmcote)>;merged;2016-06-01 14:06:35;2016-06-16 03:38:17
