url;owner;commenter;decision;submission date;last comment
https://github.com/apache/drill/pull/223;mpouttuclarke;mpouttuclarke;open;2015-10-28 22:24:33;
https://github.com/apache/drill/pull/218;hsuanyi;hsuanyi;open;2015-10-26 03:20:27;
https://github.com/apache/drill/pull/201;sudipmukherjee;sudipmukherjee;open;2015-10-14 11:27:53;
https://github.com/apache/drill/pull/186;StevenMPhillips;amansinha100;open;2015-10-02 05:45:11;
https://github.com/apache/drill/pull/184;aleph-zero;aleph-zero;open;2015-10-01 22:47:36;
https://github.com/apache/drill/pull/183;aleph-zero;aleph-zero;open;2015-10-01 22:32:44;
https://github.com/apache/drill/pull/182;aleph-zero;aleph-zero;open;2015-10-01 20:27:39;
https://github.com/apache/drill/pull/177;aleph-zero;jacques-n;open;2015-09-29 20:28:49;
https://github.com/apache/drill/pull/167;hsuanyi;hsuanyi;open;2015-09-24 18:48:50;
https://github.com/apache/drill/pull/164;StevenMPhillips;StevenMPhillips;open;2015-09-22 21:09:59;
https://github.com/apache/drill/pull/153;jinfengni;jinfengni;open;2015-09-11 01:05:22;
https://github.com/apache/drill/pull/136;amithadke;amithadke;open;2015-08-26 22:57:47;
https://github.com/apache/drill/pull/135;aleph-zero;adeneche;open;2015-08-26 22:13:32;
https://github.com/apache/drill/pull/131;aleph-zero;aleph-zero;open;2015-08-25 22:43:03;
https://github.com/apache/drill/pull/129;aleph-zero;aleph-zero;open;2015-08-25 18:25:23;
https://github.com/apache/drill/pull/122;spanchamiamapr;spanchamiamapr;open;2015-08-19 22:31:13;
https://github.com/apache/drill/pull/118;dsbos;dsbos;open;2015-08-18 00:50:30;
https://github.com/apache/drill/pull/106;jaltekruse;jaltekruse;open;2015-08-10 17:29:05;
https://github.com/apache/drill/pull/100;sudipmukherjee;sudipmukherjee;open;2015-08-03 05:52:21;
https://github.com/apache/drill/pull/95;sudipmukherjee;sudipmukherjee;open;2015-07-20 06:09:00;
https://github.com/apache/drill/pull/86;StevenMPhillips;StevenMPhillips;open;2015-07-10 01:10:43;
https://github.com/apache/drill/pull/84;StevenMPhillips;StevenMPhillips;open;2015-07-09 02:20:40;
https://github.com/apache/drill/pull/83;StevenMPhillips;StevenMPhillips;open;2015-07-09 01:29:34;
https://github.com/apache/drill/pull/81;hnfgns;jaltekruse;open;2015-07-08 18:26:22;
